POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6396,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,21,11,14,10,54,19,52,3,190
POA6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,6,14,0,34
POA6398,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,7,13,17,31,27,24,17,37,14,31,5,206
POA6401,3,20,17,3,24,21,11,22,0,120,10,17,8,5,22,30,16,16,19,131,119,341,309,349,520,489,350,517,51,3050
POA6403,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,6,10,10,9,12,10,18,0,80
POA6405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,11,16,23,14,16,15,8,45,5,154
POA6407,0,0,0,0,0,8,3,5,0,12,0,3,0,3,0,0,0,5,3,15,19,49,29,46,60,75,42,134,11,471
POA6409,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,6,18,19,16,14,32,20,51,0,169
POA6410,0,3,0,0,0,0,0,0,0,5,0,3,3,3,0,0,0,4,6,21,15,42,44,59,44,57,23,98,10,393
POA6411,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,8,8,9,3,9,6,20,0,61
POA6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,3,0,14,0,28
POA6413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,6,0,27
POA6414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,3,16,0,35
POA6415,3,3,7,8,14,12,5,23,0,67,3,0,5,0,6,5,3,6,11,40,74,127,100,143,226,232,162,234,30,1330
POA6418,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,6,0,3,0,7,14,31,19,31,13,74,25,86,3,296
POA6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,9,0,11,0,30
POA6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,3,7,0,27,0,57
POA6421,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,7,3,4,7,8,7,23,0,63
POA6422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,3,14,0,31
POA6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,9,5,10,10,15,64,8,133
POA6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,6,0,7,0,16,3,44
POA6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,3,0,0,24,0,45
