POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6229,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,10,0,0,7,3,3,0,30
POA6230,56,16,261,102,87,64,40,116,5,747,0,0,0,4,0,3,0,8,0,14,12,35,36,16,18,7,18,10,3,153,26,15,57,40,26,30,36,67,53,342,1210,3169,2697,1458,1238,694,719,1018,170,12360
POA6232,17,3,76,34,16,31,24,22,0,220,0,0,0,0,0,0,0,0,0,0,7,5,5,9,4,0,7,3,0,36,4,0,14,3,3,5,9,16,10,64,216,489,821,373,321,201,235,206,46,2905
POA6233,21,7,91,42,39,40,39,36,7,318,0,0,0,0,0,0,0,4,0,7,8,10,12,0,3,6,14,9,3,65,10,9,31,6,17,13,19,28,21,145,499,1119,1368,609,555,310,387,384,81,5309
POA6236,4,0,9,0,5,4,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,3,0,3,0,0,30,118,151,132,68,58,30,54,45,3,662
POA6237,4,0,7,3,3,7,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,14,10,0,5,8,4,0,4,3,0,40,106,163,182,85,105,44,53,66,13,807
POA6239,8,3,11,5,9,6,6,13,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,9,5,10,7,7,5,11,9,4,66,159,239,231,114,114,57,91,97,17,1123
POA6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,0,3,3,0,3,0,40
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,12
POA6244,3,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,10,114,51,46,27,32,16,14,37,6,335
POA6251,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,27,10,17,12,10,4,4,16,0,89
POA6252,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,4,7,3,6,9,0,34
